onset	duration	value
400	5	12
1257	5	11
2111	5	11
2965	5	11
3820	5	12
4673	5	13
5526	5	11
6379	5	13
7233	5	11
8086	5	12
8939	5	13
9793	5	13
10646	5	13
11499	5	13
12353	5	13
14571	5	13
15424	5	11
16277	5	12
17131	5	11
17984	5	13
18837	5	11
19691	5	12
20544	5	12
21397	5	12
22251	5	12
23104	5	11
23957	5	12
24811	5	12
25664	5	12
26517	5	12
28204	5	13
29057	5	12
29911	5	12
30764	5	13
31617	5	11
32470	5	11
33324	5	11
34177	5	11
35030	5	11
35884	5	13
36737	5	12
37590	5	12
38444	5	11
39297	5	11
40150	5	12
41780	5	13
42634	5	11
43487	5	13
44340	5	12
45194	5	12
46047	5	11
46900	5	13
47753	5	13
48607	5	13
49460	5	11
50313	5	13
51167	5	12
52020	5	13
52873	5	11
53727	5	13
